word,pos,level,desc
"out of (NO LONGER IN CONDITION)","preposition","B2","no longer in a particular condition or situation"
"out of (BECAUSE OF)","preposition","B2","used to show the reason why someone does something"
"be out of sth","preposition","B2","to have no more of something left"
"out of date","preposition","B1","old and no longer useful, correct or fashionable"
"out of order","preposition","B1","If a machine or system is out of order, it is not working as it should."
"out of work","preposition","B1","not in a job"
"be out of breath","preposition","B2","to be breathing quickly because you have been running, walking fast, etc."
"out of control","preposition","B2","If something or someone is out of control, you cannot influence, limit or direct them."
"out of nowhere","preposition","B2","If someone or something appears out of nowhere, it appears suddenly or unexpectedly."
"be out of practice","preposition","B2","to not do something well because you have not done it recently"
"out of stock","preposition","B2","not available in a shop"
"out of season","preposition","C1","If vegetables or fruit are out of season, they are not usually available at that time."
"out of tune","preposition","C1","singing or playing the wrong notes"
"out of the blue","preposition","C1","If something happens out of the blue, it is completely unexpected."
"out of action","preposition","C1","damaged or hurt and not able to operate or play sports"
"out of your depth","preposition","C2","not having the knowledge, experience, or skills to deal with a particular subject or situation"
"out of a job","preposition","C2","without a job"
"out of the ordinary","preposition","C2","unusual or different"
"be out of this world","preposition","C2","to be of extremely good quality"
"(be) out of line","preposition","C2","If someone's actions or words are out of line, they are not suitable or acceptable."
"get out of hand","preposition","C2","to become difficult to control"
"out of place","preposition","C2","not in the correct position"
"out of place","preposition","C2","not right or suitable for a particular situation"
"out of proportion","preposition","C2","If something is out of proportion, it is much bigger or smaller than it should be, when compared to other things."
"be out of the question ()","preposition","C2","If something is out of the question, it is not possible or not allowed."
"out of season","preposition","C2","If you go somewhere out of season, you go during a period of the year when few people are there."
"out of shape","preposition","C2","not healthy or physically strong"
"be/get out of touch","preposition","C2","to know little about what has recently happened"
"out-of-date","adjective","B1","old and no longer useful, correct or fashionable"
"output","noun","C2","an amount of something produced by a person, machine, factory, country, etc."
"outrage (FEELING)","noun","C2","a strong feeling of anger or shock"
"outrage (THING CAUSING SHOCK)","noun","C2","something that causes great anger or shock"
"outrage","verb","C1","to cause someone to feel very angry, shocked, or upset"
"outrageous","adjective","B2","shocking or extreme"
"at/from the outset","noun","C2","at or from the beginning of something"
"outside (NOT IN BUILDING)","adverb","A1","not inside a building"
"outside (NEAR)","adverb","A2","not in a particular room or building but near it"
"outside","preposition","A2","not in a particular room, building or place, but near it"
"outside (NOT IN BUILDING)","adjective","B2","not in a building"
"outside (DIFFERENT ORGANIZATION)","adjective","C1","coming from another place or organization"
"the outside","noun","B2","the outer part or side of something"
"outskirts","noun","B2","the outer area of a city or town"
"outstanding","adjective","B2","excellent and much better than most"
"outweigh","verb","C1","to be greater or more important than something else"
"oval","adjective","B2","in the shape of an egg or a slightly flat circle"
"oven","noun","B1","the part of a cooker with a door, which is used to cook food"
"over (MORE THAN)","preposition","A2","more than a particular amount, number, or age"
"over (COVERING)","preposition","A2","covering something or someone"
"over (HIGHER POSITION)","preposition","B1","above or higher than something"
"over (ACROSS)","preposition","B1","across from one side of something to the other, especially by going up and then down"
"all over somewhere","preposition","B1","everywhere in a particular place"
"over (DURING)","preposition","B1","during a particular period of time"
"over (OTHER SIDE)","preposition","B1","on the other side of"
"over (CONTROL)","preposition","C2","in control of or teaching someone or something"
"over (USING)","preposition","B2","using"
"over here/there","preposition","B1","in this/that place"
"over (ABOUT)","preposition","C2","connected with or about"
"over the top","preposition","C2","too extreme and not suitable"
"over (MORE THAN)","adverb","A2","more than a particular amount or level"
"over (ACROSS)","adverb","B1","from one side or place to another"
"over (DIFFERENT SURFACE)","adverb","B2","describes the way an object moves or is moved so that a different part of it is facing up"
"over (FINISHED)","adverb","B1","finished"
"over and over (again)","adverb","B2","happening or done many times"
"all over again","adverb","B2","repeated from the beginning"
"get sth over (and done) with","adverb","C2","to do something difficult or unpleasant as soon as you can so that you do not have to worry about it any more"
"overall","adverb","B2","in general rather than in particular, or including all the people or things in a particular group or situation"
"overboard","adverb","C2","over the side of a boat and into the water"
"go overboard","adverb","C2","to do something too much, or to be too excited about something"
"overcome","verb","B2","to deal with and control a problem or feeling"
"be overcome by excitement/fear/sadness, etc.","verb","C2","to suddenly have too much of a feeling"
"overcrowded","adjective","C1","containing too many people or things"
"overdo","verb","C1","to do or use too much of something"
"overdraft","noun","C1","If you have an overdraft, you have taken more money out of your bank account than you had in it."
